Name,Q_P_C_Stare_rate,H_o_h_h_t_p,H_o_h_h_p_f_s,H_p_w_a,H_o_p_b_g_bed,H_o_p_b_bathing,H_o_p_breath,H_o_p_drugs_c,H_o_p_a_hosp,H_o_p_r_u_h_care_ER,C_s_i,H_o_p_r_action,P_r_e,A_l_Term,DTC_num,DTC_dem,DTC_Rate,DTC_Standard_Rate,DTC_Standard_Rate_limit_l,DTC_Standard_Rate_limit_u,PPR_num,PPR_dem,PPR_Rate,PPR_Standard_Rate,PPR_Standard_Rate_limit_l,PPR_Standard_Rate_limit_u,PPH_num,PPH_dem,PPH_Rate,PPH_Standard_Rate,PPH_Standard_Rate_limit_l,PPH_Standard_Rate_limit_u,medical_spends,Nr_of_episods
155,3.6109225547670474,97.25046117227015,75.64782343987824,84.10910769230769,85.19247378161629,86.98434327899109,85.55988805970148,81.44385639121015,13.655686274509806,11.769379084967321,0.2338244321669736,97.02511157393631,0.8761833879130694,99.5673906575424,298.3913561847988,298.0244348024663,76.26546646795826,80.95355588673621,74.83311773472428,86.05237555886735,6.790304810870364,135.69096589429836,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,168.89333658774714,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.9691144010767161,514.8793221891459
156,4.0,100.0,79.3,82.2,83.6,91.1,89.8,79.0,11.6,11.7,0.3,99.5,0.4,99.9,409.0,517.0,79.11,84.21,80.67,87.7,9.0,279.0,3.23,3.82,2.68,5.19,31.0,273.0,11.36,11.85,8.82,15.98,0.96,687.0
157,3.0,99.8,47.9,76.5,76.4,79.5,80.6,69.2,13.1,14.4,0.3,98.2,1.4,99.8,187.0,221.0,84.62,90.34,85.0,94.65,3.0,109.0,2.75,3.78,2.75,5.47,11.0,109.0,10.09,9.56,6.25,13.83,0.94,307.0
158,3.6109225547670474,97.25046117227015,75.64782343987824,84.10910769230769,85.19247378161629,86.98434327899109,85.55988805970148,81.44385639121015,13.655686274509806,11.769379084967321,0.2338244321669736,97.02511157393631,0.8761833879130694,99.5673906575424,298.3913561847988,2.0,76.26546646795826,80.95355588673621,74.83311773472428,86.05237555886735,6.790304810870364,1.0,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,168.89333658774714,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.9691144010767161,2.0
159,4.5,100.0,84.9,87.7,92.1,93.9,98.4,85.7,12.2,12.8,0.0,96.7,0.9,99.8,734.0,932.0,78.76,84.35,81.5,87.1,8.0,312.0,2.56,3.49,2.47,4.67,50.0,539.0,9.28,9.35,7.44,11.56,1.09,1487.0
160,4.0,99.8,62.8,87.8,85.3,88.0,88.3,79.9,13.9,14.8,0.0,99.2,1.2,99.8,394.0,452.0,87.17,94.06,90.77,96.89,6.0,259.0,2.32,3.52,2.49,4.7,17.0,243.0,7.0,7.53,5.24,10.52,0.95,581.0
161,3.6109225547670474,97.25046117227015,75.64782343987824,84.10910769230769,85.19247378161629,86.98434327899109,85.55988805970148,81.44385639121015,13.655686274509806,11.769379084967321,0.2338244321669736,97.02511157393631,0.8761833879130694,99.5673906575424,298.3913561847988,298.0244348024663,76.26546646795826,80.95355588673621,74.83311773472428,86.05237555886735,6.790304810870364,135.69096589429836,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,168.89333658774714,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.9691144010767161,514.8793221891459
162,2.5,99.2,72.9,62.4,72.0,72.5,80.4,65.6,13.655686274509806,11.769379084967321,0.4,99.6,0.4,100.0,23.0,31.0,74.19,76.79,61.84,88.18,0.0,23.0,0.0,3.78,2.53,5.53,21.46951219512195,14.0,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.95,63.0
163,3.0,99.0,79.1,74.7,78.7,81.7,77.7,76.0,11.0,9.4,0.1,97.9,1.1,99.9,447.0,539.0,82.93,88.97,85.24,91.89,6.0,183.0,3.28,3.72,2.68,5.11,20.0,296.0,6.76,7.89,5.85,10.61,0.91,761.0
164,5.0,100.0,71.7,95.4,93.8,92.3,92.8,91.7,13.0,17.5,0.0,97.3,1.6,100.0,729.0,895.0,81.45,89.12,86.46,91.57,11.0,447.0,2.46,3.48,2.61,4.9,30.0,518.0,5.79,5.75,4.33,7.67,1.0,1467.0
165,4.5,98.9,86.8,92.3,91.4,92.8,88.4,91.0,10.3,15.2,0.0,99.5,1.2,99.8,594.0,790.0,75.19,85.84,82.27,88.87,11.0,436.0,2.52,3.4,2.49,4.45,39.0,492.0,7.93,7.05,5.41,9.17,0.99,1208.0
